corredor,viajes,toneladas,ton_prom,cv_mensual_%,tendencia_mes,crecimiento_%
SOPO -> MARIQUITA,54,594.349,11.006462962962964,68.6,-0.25,-150.0
SOACHA -> ACACIAS,53,791.4159999999999,14.932377358490564,29.6,-0.02,-12.2
PUERTO TEJADA -> MEDELLIN,53,1725.208,32.551094339622644,92.1,0.27,165.1
ENVIGADO -> ENVIGADO,53,1427.14,26.927169811320756,289.5,-0.57,-348.5
MADRID -> AGUACHICA,52,401.411,7.719442307692308,73.1,0.27,168.2
SONSON -> MONTERIA,52,1768.0,34.0,89.6,0.34,211.8
CALDAS -> BUENAVENTURA,52,1140.2160000000001,21.92723076923077,37.3,-0.02,-12.5
MADRID -> UNE,52,654.0,12.576923076923077,58.0,0.1,62.3
SOPO -> CHINCHINA,51,1039.316,20.378745098039218,58.4,-0.03,-19.1
SOPO -> GIRON,50,732.291,14.64582,109.4,0.39,252.7
SABANETA -> SOGAMOSO,50,1050.58,21.011599999999998,95.3,-0.38,-246.2
RIONEGRO -> ENVIGADO,50,244.328,4.88656,64.8,-0.07,-45.4
MADRID -> SOLEDAD,49,1547.021,31.57185714285714,54.6,0.08,52.9
YUMBO -> SOACHA,49,1535.098,31.328530612244897,24.6,-0.02,-13.2
SABANAGRANDE -> MADRID,49,980.0,20.0,35.2,-0.01,-6.6
SOACHA -> SOGAMOSO,49,412.17199999999997,8.411673469387754,51.7,-0.13,-86.0
BOGOTA D.C. -> IBAGUE,48,417.0,8.6875,98.0,0.19,128.2
BOGOTA D.C. -> BUCARAMANGA,48,696.128,14.502666666666668,42.7,0.0,0.0
NOBSA -> MEDELLIN,48,1629.0,33.9375,118.6,0.19,128.2
MADRID -> SIBATE,48,738.926,15.394291666666668,38.6,-0.03,-20.2
SOPO -> SOLEDAD,48,1543.517,32.15660416666667,48.1,-0.11,-74.2
SABANETA -> BOGOTA D.C.,47,187.685,3.9932978723404258,69.7,-0.13,-89.6
GIRARDOTA -> VILLAVICENCIO,47,806.348,17.156340425531916,55.9,-0.09,-62.0
SOPO -> NEIVA,47,1460.946,31.08395744680851,54.4,0.03,20.7
GIRARDOTA -> POPAYAN,46,342.046,7.435782608695652,64.7,0.14,98.6
BUCARAMANGA -> GIRON,46,432.078,9.392999999999999,160.6,0.37,260.6
RIONEGRO -> EL SANTUARIO,46,195.344,4.246608695652173,54.1,-0.06,-42.3
COTA -> SOACHA,46,497.297,10.810804347826087,105.0,0.36,253.6
CALDAS -> TENJO,45,733.723,16.304955555555555,199.4,-0.1,-72.0
SONSON -> PEREIRA,45,1530.0,34.0,68.9,0.08,57.6
MADRID -> LA VEGA,45,396.81399999999996,8.818088888888887,60.2,0.05,36.0
YUMBO -> EL CERRITO,45,307.613,6.835844444444445,115.8,0.07,50.4
MADRID -> SANTA MARTA,44,716.577,16.285840909090908,93.3,0.12,88.4
MADRID -> CAQUEZA,44,597.5,13.579545454545455,101.4,-0.31,-228.3
MADRID -> SABANETA,44,329.132,7.480272727272728,75.9,0.04,29.5
